,nu,tauv,ratio,g,N,gamma,gSteady
1,0.0,15.0,0.2,10.0,1000.0,5.247353793827022,5.245798769622173
2,0.0,15.0,0.5,10.0,1000.0,5.726474164879259,5.7191321947940095
3,0.0,15.0,1.0,10.0,1000.0,6.148611671683644,6.146572871892899
4,0.0,15.0,2.0,10.0,1000.0,6.515328291945296,6.499592879208485
5,0.0,15.0,3.0,10.0,1000.0,7.347046512792893,7.347046512792895
6,0.0,30.0,0.2,10.0,1000.0,5.325156201193326,5.3123030887880125
7,0.0,30.0,0.5,10.0,1000.0,5.80801489314173,5.807058251611602
8,0.0,30.0,1.0,10.0,1000.0,6.477274400661481,6.477119878433204
9,0.0,30.0,2.0,10.0,1000.0,8.34019019592383,8.339112217210232
10,0.0,30.0,3.0,10.0,1000.0,11.153449809654534,10.138874833626824
11,0.0,45.0,0.2,10.0,1000.0,5.374074122153231,5.373532908048687
12,0.0,45.0,0.5,10.0,1000.0,5.928817764810334,5.927472858255954
13,0.0,45.0,1.0,10.0,1000.0,7.272151636631565,7.272151636631562
14,0.0,45.0,2.0,10.0,1000.0,9.546906404526297,9.546906404526299
15,0.0,45.0,3.0,10.0,1000.0,10.708959173158883,10.70895917315889
16,0.0,60.0,0.2,10.0,1000.0,5.435501362177666,5.434681337845331
17,0.0,60.0,0.5,10.0,1000.0,6.132707517880984,6.132707517880983
18,0.0,60.0,1.0,10.0,1000.0,7.343704271463787,7.343403334769935
19,0.0,60.0,2.0,10.0,1000.0,9.026357320873249,9.026357320873245
20,0.0,60.0,3.0,10.0,1000.0,10.06378418897255,10.063784188972551
21,0.0,90.0,0.2,10.0,1000.0,5.421983925202142,5.421983925202139
22,0.0,90.0,0.5,10.0,1000.0,6.10027646707857,5.998377993754567
23,0.0,90.0,1.0,10.0,1000.0,7.057407162452794,7.056533222894785
24,0.0,90.0,2.0,10.0,1000.0,8.413190778503557,8.413190778503559
25,0.0,90.0,3.0,10.0,1000.0,8.945110277930185,8.945110277930185
26,10.0,15.0,0.2,10.0,1000.0,5.272338455682998,5.272025990327713
27,10.0,15.0,0.5,10.0,1000.0,5.598901637155532,5.567851330894174
28,10.0,15.0,1.0,10.0,1000.0,5.836270120353455,5.8213347511078375
29,10.0,15.0,2.0,10.0,1000.0,6.886364553172752,6.8863645531727515
30,10.0,15.0,3.0,10.0,1000.0,7.956364427735989,7.916859191077357
31,10.0,30.0,0.2,10.0,1000.0,5.365211900018776,5.365211900018775
32,10.0,30.0,0.5,10.0,1000.0,5.826503570840857,5.826503570840856
33,10.0,30.0,1.0,10.0,1000.0,6.692979053626209,6.732068988524922
34,10.0,30.0,2.0,10.0,1000.0,9.33633635765302,9.335743597353355
35,10.0,30.0,3.0,10.0,1000.0,11.263402614499,11.247134207123162
36,10.0,45.0,0.2,10.0,1000.0,5.45333052783622,5.453293558858534
37,10.0,45.0,0.5,10.0,1000.0,6.060783936615216,6.069652553735864
38,10.0,45.0,1.0,10.0,1000.0,7.181882729613387,7.177424000024996
39,10.0,45.0,2.0,10.0,1000.0,11.12934341118639,11.129343411186396
40,10.0,45.0,3.0,10.0,1000.0,12.09682476871324,12.27137136499941
41,10.0,60.0,0.2,10.0,1000.0,5.514541343655387,5.514541343655388
42,10.0,60.0,0.5,10.0,1000.0,6.3793813110486655,6.380257214714516
43,10.0,60.0,1.0,10.0,1000.0,7.753170490120987,7.753170490120988
